Bird_Species,Timestamp,Start_Offset,Confidence,Temperature,Filename,Battery_Voltage
Airplane,2026-01-09 16:56:00-05:00,24.0,0.6820663809776306,51.8,/Users/patrick/Desktop/creation/birds/recordings/20260109_165600.WAV,3.2
Downy Woodpecker,2026-01-07 08:13:00-05:00,12.0,0.9371598958969116,36.5,/Users/patrick/Desktop/creation/birds/recordings/20260107_131300.WAV,3.4
Airplane,2026-01-07 08:13:00-05:00,30.0,0.70479416847229,36.5,/Users/patrick/Desktop/creation/birds/recordings/20260107_131300.WAV,3.4
American Crow,2026-01-07 08:13:00-05:00,42.0,0.7249873876571655,36.5,/Users/patrick/Desktop/creation/birds/recordings/20260107_131300.WAV,3.4
Tufted Titmouse,2026-01-07 08:13:00-05:00,48.0,0.8382082581520081,36.5,/Users/patrick/Desktop/creation/birds/recordings/20260107_131300.WAV,3.4
Tufted Titmouse,2026-01-07 08:13:00-05:00,51.0,0.9041395783424377,36.5,/Users/patrick/Desktop/creation/birds/recordings/20260107_131300.WAV,3.4
American Crow,2026-01-09 08:25:00-05:00,42.0,0.6862533092498779,43.52,/Users/patrick/Desktop/creation/birds/recordings/20260109_082500.WAV,3.2
Airplane,2026-01-07 16:19:00-05:00,0.0,0.9620683789253235,59.900000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_211900.WAV,3.4
Airplane,2026-01-07 16:19:00-05:00,3.0,0.978888213634491,59.900000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_211900.WAV,3.4
Airplane,2026-01-07 16:19:00-05:00,6.0,0.8984545469284058,59.900000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_211900.WAV,3.4
Airplane,2026-01-07 16:19:00-05:00,9.0,0.736876904964447,59.900000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_211900.WAV,3.4
American Crow,2026-01-09 08:01:00-05:00,48.0,0.8849377632141113,42.8,/Users/patrick/Desktop/creation/birds/recordings/20260109_080100.WAV,3.2
